year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning
1963,1963-07-04,COLORED (3),30.743400841215113,Wildfire,329.4366832119795,"Listed Wildfire Discovery Date(s): 1963-07-04 (1) | Listed Wildfire Controlled Date(s): 1963-07-04 (1) | Listed Wildfire Out Date(s): 1963-07-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1), 2012-02-29 - DATE_CUR field (1)",119
1965,1965-10-30,ABRAMS MTN (2),3.9782418134748907,Wildfire,385.9670695041963,Listed Wildfire Discovery Date(s): 1965-10-30 (1) | Listed Wildfire Controlled Date(s): 1965-10-31 (1) | Listed Wildfire Out Date(s): 1965-11-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),1
1965,1965-07-31,SANDY BOTT (2),1.9894917821887914,Wildfire,390.728687898244,Listed Wildfire Discovery Date(s): 1965-07-31 (1) | Listed Wildfire Controlled Date(s): 1965-08-01 (1) | Listed Wildfire Out Date(s): 1965-08-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),92
1965,1965-07-24,SKYLAND (2),1.9890989236274303,Wildfire,371.7689257181115,Listed Wildfire Discovery Date(s): 1965-07-24 (1) | Listed Wildfire Controlled Date(s): 1965-07-24 (1) | Listed Wildfire Out Date(s): 1965-08-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),99
1965,1965-08-17,LEWIS PEAK (2),0.24882120880443995,Wildfire,400.59964291590495,Listed Wildfire Discovery Date(s): 1965-08-17 (1) | Listed Wildfire Controlled Date(s): 1965-08-17 (1) | Listed Wildfire Out Date(s): 1965-08-23 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),75
1965,1965-09-07,PUMPKIN HI (2),0.09944895327366324,Wildfire,368.9474330418539,Listed Wildfire Discovery Date(s): 1965-09-07 (1) | Listed Wildfire Controlled Date(s): 1965-09-07 (1) | Listed Wildfire Out Date(s): 1965-09-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),54
1966,1966-06-04,HWY 211 (2),0.09944202594388704,Wildfire,366.1496506610244,Listed Wildfire Discovery Date(s): 1966-06-04 (1) | Listed Wildfire Controlled Date(s): 1966-06-04 (1) | Listed Wildfire Out Date(s): 1966-06-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),149
1966,1966-10-12,SQUIRREL (2),0.09943740821300995,Wildfire,364.86165082795935,Listed Wildfire Discovery Date(s): 1966-10-12 (1) | Listed Wildfire Controlled Date(s): 1966-10-12 (1) | Listed Wildfire Out Date(s): 1966-10-14 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),19
1966,1966-09-08,CRISER ROA (2),0.0994302315933129,Wildfire,351.1807290623465,Listed Wildfire Discovery Date(s): 1966-09-08 (1) | Listed Wildfire Controlled Date(s): 1966-09-08 (1) | Listed Wildfire Out Date(s): 1966-09-12 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),53
1967,1967-05-27,PINNACLES (2),0.9943347382172238,Wildfire,368.4973886987564,Listed Wildfire Discovery Date(s): 1967-05-27 (1) | Listed Wildfire Controlled Date(s): 1967-05-27 (1) | Listed Wildfire Out Date(s): 1967-05-29 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),157
1967,1967-07-20,OAK TREE (2),0.09945682809366019,Wildfire,379.74824234048674,Listed Wildfire Discovery Date(s): 1967-07-20 (1) | Listed Wildfire Controlled Date(s): 1967-07-20 (1) | Listed Wildfire Out Date(s): 1967-07-21 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),103
1969,1969-05-04,PAINE RUN (2),7.737741609041988,Wildfire,406.9693980257376,Listed Wildfire Discovery Date(s): 1969-05-04 (1) | Listed Wildfire Controlled Date(s): 1969-05-04 (1) | Listed Wildfire Out Date(s): 1969-05-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),180
1969,1969-06-08,MADISON RU (2),0.5783937729445568,Wildfire,402.77736129271005,Listed Wildfire Discovery Date(s): 1969-06-08 (1) | Listed Wildfire Controlled Date(s): 1969-06-08 (1) | Listed Wildfire Out Date(s): 1969-06-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),145
1969,1969-10-18,MD 77 (2),0.09947673890825674,Wildfire,397.0830508488197,Listed Wildfire Discovery Date(s): 1969-10-18 (1) | Listed Wildfire Controlled Date(s): 1969-10-18 (1) | Listed Wildfire Out Date(s): 1969-10-18 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),13
1970,1970-05-20,GRINDSTONE (2),30.957481759241354,Wildfire,383.00061895051834,Listed Wildfire Discovery Date(s): 1970-05-20 (1) | Listed Wildfire Controlled Date(s): 1970-05-21 (1) | Listed Wildfire Out Date(s): 1970-05-27 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),164
1971,1971-05-02,211 EAST (2),0.09944277407919047,Wildfire,365.9324785446613,Listed Wildfire Discovery Date(s): 1971-05-02 (1) | Listed Wildfire Controlled Date(s): 1971-05-02 (1) | Listed Wildfire Out Date(s): 1971-05-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),182
1971,1971-07-01,EQUITATION (3),0.09663669904096396,Wildfire,301.07290714592887,"Listed Wildfire Discovery Date(s): 1971-07-01 (1), 1971-04-09 (1) | Listed Wildfire Controlled Date(s): 1971-07-20 (1), 1971-04-09 (1) | Listed Wildfire Out Date(s): 1971-07-20 (1), 1971-04-09 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (2)",122
1973,1973-10-24,WHITEOAK Canyon (2),22.8723313888729,Wildfire,372.69795682557003,Listed Wildfire Discovery Date(s): 1973-10-24 (1) | Listed Wildfire Controlled Date(s): 1973-10-24 (1) | Listed Wildfire Out Date(s): 1973-10-29 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),7
1973,1973-05-04,ABRAM MT (2),21.67701056898283,Wildfire,387.15982890662565,Listed Wildfire Discovery Date(s): 1973-05-04 (1) | Listed Wildfire Controlled Date(s): 1973-05-04 (1) | Listed Wildfire Out Date(s): 1973-05-09 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),180
1973,1973-10-28,LEADING Ridge (2),6.496484861108861,Wildfire,369.08883090627154,Listed Wildfire Discovery Date(s): 1973-10-28 (1) | Listed Wildfire Controlled Date(s): 1973-10-28 (1) | Listed Wildfire Out Date(s): 1973-11-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),3
1973,1973-06-03,RT 211E (2),0.24871888642328574,Wildfire,366.1616209167837,Listed Wildfire Discovery Date(s): 1973-06-03 (1) | Listed Wildfire Controlled Date(s): 1973-06-03 (1) | Listed Wildfire Out Date(s): 1973-06-03 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),150
