year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
1963,1963-07-04,COLORED (3),30.743400841215113,Wildfire,329.4366832119795,"Listed Wildfire Discovery Date(s): 1963-07-04 (1) | Listed Wildfire Controlled Date(s): 1963-07-04 (1) | Listed Wildfire Out Date(s): 1963-07-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1), 2012-02-29 - DATE_CUR field (1)",119,0.03370970526589821,0.03315398740950025
1965,1965-10-30,ABRAMS MTN (2),3.9782418134748903,Wildfire,385.9670695041963,Listed Wildfire Discovery Date(s): 1965-10-30 (1) | Listed Wildfire Controlled Date(s): 1965-10-31 (1) | Listed Wildfire Out Date(s): 1965-11-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),1,2.6704882582042643e-05,2.6704526013013858e-05
1965,1965-07-31,SANDY BOTT (2),1.9894917821887912,Wildfire,390.728687898244,Listed Wildfire Discovery Date(s): 1965-07-31 (1) | Listed Wildfire Controlled Date(s): 1965-08-01 (1) | Listed Wildfire Out Date(s): 1965-08-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),92,0.001198890113924478,0.001198172019059097
1965,1965-07-24,SKYLAND (2),1.9890989236274303,Wildfire,371.7689257181115,Listed Wildfire Discovery Date(s): 1965-07-24 (1) | Listed Wildfire Controlled Date(s): 1965-07-24 (1) | Listed Wildfire Out Date(s): 1965-08-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),99,0.00142477210614856,0.0014237580814264851
1965,1965-08-17,LEWIS PEAK (2),0.2488212088044399,Wildfire,400.59964291590495,Listed Wildfire Discovery Date(s): 1965-08-17 (1) | Listed Wildfire Controlled Date(s): 1965-08-17 (1) | Listed Wildfire Out Date(s): 1965-08-23 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),75,0.00011628602982483473,0.00011627926912857979
1965,1965-09-07,PUMPKIN HI (2),0.0994489532736632,Wildfire,368.9474330418539,Listed Wildfire Discovery Date(s): 1965-09-07 (1) | Listed Wildfire Controlled Date(s): 1965-09-07 (1) | Listed Wildfire Out Date(s): 1965-09-08 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),54,3.94516335133339e-05,3.945085531810778e-05
1966,1966-06-04,HWY 211 (2),0.099442025943887,Wildfire,366.1496506610244,Listed Wildfire Discovery Date(s): 1966-06-04 (1) | Listed Wildfire Controlled Date(s): 1966-06-04 (1) | Listed Wildfire Out Date(s): 1966-06-06 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),149,0.00011051951841664839,0.00011051341158461814
1966,1966-10-12,SQUIRREL (2),0.0994374082130099,Wildfire,364.86165082795935,Listed Wildfire Discovery Date(s): 1966-10-12 (1) | Listed Wildfire Controlled Date(s): 1966-10-12 (1) | Listed Wildfire Out Date(s): 1966-10-14 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),19,1.4192109701938454e-05,1.4192008994902387e-05
1966,1966-09-08,CRISER ROA (2),0.0994302315933129,Wildfire,351.1807290623465,Listed Wildfire Discovery Date(s): 1966-09-08 (1) | Listed Wildfire Controlled Date(s): 1966-09-08 (1) | Listed Wildfire Out Date(s): 1966-09-12 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),53,4.273000743275694e-05,4.2729094531994744e-05
1967,1967-05-27,PINNACLES (2),0.9943347382172238,Wildfire,368.4973886987564,Listed Wildfire Discovery Date(s): 1967-05-27 (1) | Listed Wildfire Controlled Date(s): 1967-05-27 (1) | Listed Wildfire Out Date(s): 1967-05-29 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),157,0.001149644154329857,0.0011489838195406284
